query_shape	count
["5,8","5,17,18","5,17,19","5,18,20","5,19,20","5,18,21","5,19,21","5,14,17,18","5,8,17,18","5,17,18,22","5,14,17,19","5,8,17,19","5,17,19,22","5,14,18,20","5,8,18,20","5,18,20,22","5,14,19,20","5,8,19,20","5,19,20,22","5,14,18,21","5,8,18,21","5,18,21,22","5,14,19,21","5,8,19,21","5,19,21,22"]	5514530
["5"]	4706998
["8","8,9","8,10","2,8","8,11,12","8,13","8,14","8,15","8,16","2","11,12","13","14","15","16"]	2562225
["5,58,59,909,1083","5,58,59,909,1083,1727","5,58,59,909,1083,1726","5,58,59,909,1083,1729","5,58,59,909,1083,1728"]	1416281
["31"]	821688
["8"]	605784
["5,8","8","52"]	590023
["129"]	554906
["3,5","3,4,326"]	513980
["1154","24"]	445724
["2"]	295001
["45"]	288072
["44"]	274875
["5,8"]	241399
["52","5"]	195479
["5","5,98","5,502","5,100","2,5"]	191422
["16"]	183009
["11,12"]	170753
["1"]	165959
["71,129"]	150134
["1076"]	149759
["8","8,11,12"]	148817
["38","2"]	140979
["25636"]	125183
["23"]	120071
["38"]	89436
["36"]	86360
["37"]	84064
["131"]	83267
["8,31,44"]	79745
["5,58,59,909,1083","5,58,59,909,1083,1727","5,58,59,909,1083,1726","5,58,59,909,1083,1729"]	79249
["11,12","52","1,8,11,12,83,170","8"]	78495
["555"]	75038
["5,8,51"]	65553
["15002"]	64655
["95"]	62522
["8,52"]	62471
["5,8,11,12,1077"]	57880
["5,8,44","8,52","44","5,8,13,44","5,8,44,71","13,44","44,71"]	57611
["52"]	54048
["5,24"]	52429
["5,24,63"]	52113
["31","45"]	51454
["5,8","226"]	47717
["49"]	45951
["8","1,8"]	45204
["83"]	43549
["49","3"]	34636
["23","3"]	34609
["62"]	34101
["71"]	32825
["45,129"]	31998
["104","31"]	30897
["5,24,44","90","5,13,24,44","5,24,44,71"]	30881
["45","8"]	29349
["1,8"]	27746
["5,8,83","3,5,83","5,24,83"]	27143
["199"]	26793
["5","8"]	26780
["33436","13188","27083","604","502,13208"]	26508
["104"]	23534
["105"]	22522
["104","502"]	22500
["438"]	22463
["1,2,8"]	21744
["31,129"]	20907
["5,129"]	20501
["8","8,31"]	20274
["8,83"]	20233
["15,65"]	19922
["8","13"]	19607
["31","8"]	18919
["52","8,31,44"]	17848
["74","8,37","1,5,8,74"]	17792
["2,8"]	16767
["2,5,8,71,102"]	16658
["16","44","8"]	16311
["462","36","326","31","5","95"]	14962
["2","44","149","154","342","966","1094","13197","236"]	14892
["54"]	14736
["74","68"]	14154
["1","1,24","1,8","1,16710","1,42","1,402","1,208","1,14","1,41","1,143","1,154"]	14122
["1,734,2270"]	14063
["92"]	13263
["5","3,5"]	12536
["8,38"]	12278
["8","8,52"]	12063
["2,44,71","2,13,44,71"]	12014
["1","1,24","1,8","1,42","1,752","1,402","1,14"]	11669
["8","8,31","677","31,677"]	11550
["45","8,45","45,19453"]	10730
["31","8,31","31,44","5"]	10728
["8,38","8,31"]	10253
["757","1076"]	10227
["5,454"]	10129
["5","5,8"]	9559
["44","13","14"]	9356
["1680"]	9218
["8,16","4,8,16,101,102"]	8886
["240","326","26","28","26,326","28,326"]	7642
["104","189","8"]	7456
["71","2,71"]	7366
["540"]	7327
["5,1808,2802"]	7270
["2","2,16","2,152","2,71","2,8","2,153","2,154","2,155","2,156","2,157"]	6956
["71","8"]	6956
["5,8,15,83,1077","8"]	6946
["8,26","8","8,27","8,28","8,29","24,26","24,27","24"]	6902
["8,28","5,8,36","8,29","8","5,8,26,36","5,8,27,36","24,28","24,29","24"]	6900
["5,8,44,100","5,8,44,71,100","5,8,13,44,100"]	6832
["5,8,36,44","5,8,36,44,71","5,8,13,36,44"]	6832
["5,8,44,317","5,8,44,71,317","5,8,13,44,317"]	6832
["5,8,44,416","5,8,44,106","5,8,44,71,416","5,8,13,44,416","5,8,44,71,106","5,8,13,44,106"]	6830
["74"]	6803
["34"]	6561
["1154","5","8"]	6373
["8,31"]	6297
["52","16","5","5,52","16,52","5,16"]	6225
["5,8","5"]	6151
["24","8","3"]	5712
["52","2,44,71","2,13,44,71"]	5685
["5","8","24","2","14","50","11","12","187","16","282","39","37","144"]	5621
["5,8,189"]	5528
["169"]	5464
["104","502","8"]	5444
["2,8","2,8,16"]	5429
["43","14,43","16,43"]	5413
["8,62,189"]	5385
["918"]	5293
["8","8,45"]	5164
["8","226"]	5026
["37,503"]	5000
["8,34193","8,34194","34194","34195"]	4968
["5,24","5,24,98","5,24,502","5,24,100","2,5,24"]	4941
["16","2"]	4897
["13009"]	4877
["8,557"]	4795
["14910"]	4754
["247"]	4501
["8,36"]	4439
["8,454,461","462","463"]	4384
["74","8,37"]	4275
["776"]	4224
["2,71","2,8,71"]	4194
["768"]	4176
["772"]	4162
["5,8,454","8"]	4138
["5,8","5,8,932"]	4093
["82"]	4045
["5","95"]	3920
["1,5","5"]	3907
["5,334","5"]	3894
["5,71","5"]	3894
["5,32","5"]	3893
["5,129","5"]	3892
["5,282","5"]	3842
["1,2,5,8","1,2,5,8,16"]	3831
["5,31","5"]	3807
["2,5","5"]	3792
["5,44","5"]	3780
["383","8","5,24,383"]	3544
["3,5,8,74,75,214","3","8"]	3531
["75"]	3456
["1","1,3","1,24","1,8","1,42","1,752","1,402","1,208","1,83","1,1447","1,14","1,41","1,143","1,154"]	3362
["5,225","5"]	3264
["8,71"]	3247
["24"]	3199
["1510"]	3147
["3,5","5"]	3113
["5,24","5"]	2982
["8,44"]	2903
["3"]	2862
["2,129","2,16,129"]	2842
["326"]	2763
["269"]	2726
["5,13","5"]	2684
["5,16","5"]	2680
["38","52"]	2675
["1","1,16710","1,24","1,8","1,42","1,402","1,208","1,14","1,41","1,143","1,154"]	2658
["1894"]	2637
["71,3401"]	2610
["5,15"]	2594
["2,16"]	2567
["472"]	2529
["3,4,5,7,8","8","3","3,5,7,8,136"]	2528
["208,757"]	2500
["8,52","38","5,8","93"]	2482
["8,38","5,8","93"]	2440
["8","38"]	2414
["24","24,100"]	2334
["796"]	2238
["8,326"]	2148
["14"]	2132
["5","52","8"]	2112
["3","3,100"]	2105
["505"]	2089
["2,8,16,36,37"]	2085
["8,52","100"]	2076
["129","71"]	2051
["13"]	2035
