query_shape	count
["42"]	8436063
["211"]	8317382
["379","66"]	6396719
["342"]	3246487
["7","6"]	2585156
["61,62"]	1250125
["4325","4052","228,4325","448,4325","228","448","259,4052","6"]	949861
["3,12,23"]	948645
["3,6,66","231","3,6,66,228","3,6,66,448"]	939478
["231","7"]	826893
["18"]	737733
["13","231","236"]	679875
["5"]	638592
["2","6","8","9","3"]	594022
["146"]	586651
["10"]	568552
["2687","5966"]	525914
["49"]	377649
["3","6","2","9","8"]	355821
["13251","5835"]	343970
["14"]	315470
["14,64","6,14,64","14,64,517"]	294433
["6","6,23"]	263838
["62,143","143"]	256243
["173"]	231014
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	222486
["231"]	206902
["18,65","194"]	196112
["6","7"]	187450
["514"]	184757
["3,12,13,14"]	168936
["61"]	165232
["3,18,168","3,6,18","231","24,26,29","3","7"]	156164
["87"]	155918
["27","24,28,29","7"]	155298
["3","7"]	148226
["1","7"]	148179
["120"]	140878
["23","7"]	138467
["12"]	134811
["1308","255,1309","255,259,1309","7"]	133579
["23"]	132790
["6"]	132288
["569","21,569"]	129046
["6,18","7"]	127105
["3,6,121","231","3,6,121,197"]	125036
["3","231"]	115672
["3","231","18","389,390,1038"]	110767
["121"]	109781
["3","6","231"]	100816
["3","231","622","201","1039","151","7"]	99588
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	93484
["3,6","231","7"]	93370
["507"]	86934
["3330","7"]	85891
["3"]	83437
["3","231","6"]	83196
["24"]	79961
["3,6,121,197","231"]	69699
["125"]	68348
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	66963
["13643","6062"]	65653
["6","6,197"]	65600
["88,89","24,29","6,88,89"]	64224
["21","3,21","7"]	54256
["482"]	53708
["3,6","6"]	52306
["3,6,13","6,231"]	51583
["6,13","6"]	51477
["3,6,145","6"]	51435
["6","3,145"]	51433
["3,56","3,56,57","3,56,58","3,56,59"]	51298
["3,6"]	49605
["87","2648","2649,2999","79","188","895","87,468","468","87,831","87,468,831","7"]	48241
["119"]	47526
["142"]	46196
["3","3,354"]	44227
["300"]	43983
["64"]	43973
["6,65","6"]	43439
["15245","7626"]	40881
["28"]	40156
["21,61"]	38616
["3","3,189","3,2447","2,3","3,18","7","6,23,168"]	38125
["49","24,26,29"]	36513
["6,231","7"]	36327
["12,13","231"]	34264
["3","231","3,231","7"]	32654
["128"]	31384
["15511","7870"]	29768
["1"]	29705
["929","45","65,763","764","765,766","65,66,763","66","7","6"]	29012
["3,6","231","3,6,87"]	28506
["271"]	28036
["3,6","3,6,185","186","187","3,6,188","3,6,90","7"]	27528
["1597","1598"]	27278
["88"]	26870
["3","231","7"]	26812
["12","7"]	26699
["3,145","231","7"]	26641
["6","168"]	26310
["21"]	26174
["572"]	25714
["65"]	24386
["3,6,17"]	21824
["119","119,845","24","7"]	20938
["3","14","64","12","47","49","21","13"]	20802
["231","59"]	19406
["1581"]	18927
["6,13","231","3,6"]	18196
["4"]	18133
["34"]	17719
["3,339","340","255,340","259,340","340,599","340,600","7"]	16851
["77"]	16786
["18,357,358","7"]	16497
