query_shape	count
["21","22","891","18","19","7","6,23"]	14267
["1,450"]	10342
["569","21,569"]	8714
["1"]	8306
["3","7"]	6002
["142","24,29","7"]	4636
["21","22","891","18","19,20","7","6,23"]	4312
["231"]	3268
["929","6,23","315"]	2813
["24,29"]	2798
["929","6,23","3"]	2486
["3,65","3,21,65","3,22,65","3,65,891","18","19","22","7","6,23"]	2271
["3","231","23644"]	1926
["3,461","7"]	1873
["3","231","7"]	1652
["3,65","3,21,65","3,22,65","3,65,891","18","19,20","22","7","6,23"]	1598
["2982"]	1536
["1622"]	1509
["6","21","18","655","681","1","572","271","142","173","24,26,28,29"]	1458
["370"]	1388
["151","231"]	1344
["231","7"]	1326
["7"]	1319
["3,653","7"]	1313
["3","3,14","3,64","7"]	1298
["102"]	1218
["8","65","66","402","3339"]	1185
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131","7"]	1156
["3,855","7"]	1156
["6"]	1144
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	1111
["413","56","57,288","104","59","7"]	1103
["3"]	1077
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	1024
["2677,18578"]	996
["107"]	946
["6","21","23"]	936
["56","6","3,56","56,57","56,330","56,135","7"]	931
["78"]	919
["56,57","3,637","6,56,57,330"]	895
["56,135","6","6,922"]	886
["370","3","231","59","2137","7"]	885
["328","329","6","255,329","259,329","306,329","7"]	880
["6,56,370","6","56,370"]	876
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	874
["56","57,288"]	874
["6,413","56,57","288","56,57,175","6,104","59"]	867
["205"]	860
["3,22,65","3,21,22,65","3,22,65,891","18","19,20","7","6,23"]	834
["3,22,65","3,21,22,65","3,22,65,891","18","19","7","6,23"]	768
["352","7"]	724
["199"]	719
["21,763","764","765,766","7"]	698
["72"]	686
["126"]	682
["53","7"]	677
["3,207","3,171,207","3,21,207","3,14,207","3,64,207","209","2131","7"]	642
["3,253","179","3,21,253","21","14","64","18","2131","7"]	641
["3,37","7"]	635
["3","231","24,26","7"]	635
["56","173","7"]	634
["79","24,26,29","79,142","3,79","7"]	625
["57,288","56"]	610
["549"]	606
["515"]	590
["3","3,21","7"]	579
["3,6"]	565
["71"]	561
["752"]	555
["6","21","18","655","24,26,28,29"]	515
["666"]	501
["837"]	459
["49"]	446
["5,6,18"]	438
["597"]	432
["2403"]	429
["3,65","7"]	423
["3,65","3,21,65","3,22,65","3,65,891","18","19","7","6,23"]	421
["3,8,197,3261","7"]	415
["940"]	415
["3,1039,1064,1670,14805","18","375,7097","3","7"]	414
["28"]	413
["3","3,21","3,596"]	408
["363"]	397
["2205","66,2205","21,2205","3,2205","18","2131","7"]	395
["751"]	392
["13","7"]	390
["3505"]	384
["3,198","231","66"]	366
["18","18,66"]	363
["535","375,536"]	355
["135","288"]	353
["929","6,23","13"]	349
["18,65,1481","7"]	340
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	338
["167"]	335
["2137"]	333
["18160","23,18160","7"]	327
["2251"]	326
["3","231"]	321
["123"]	314
["6,18","6,18,21","6,18,142"]	313
["834"]	312
["3,21,65,763","231","764","28,765,766","7"]	307
["18034","23,18034","7"]	303
["204"]	302
["21","14","45","64","44","154","42","1743","211","126","243","24","7","6,23","6"]	301
["3,17","7"]	300
["3,6","231"]	299
["3,757","3,6,757","3,757,758","3,142,757","3,757,759","3,595,757","3,21,757","3,620,757","3,757,760","3,757,761"]	295
["135","57,135","56,135","6","7"]	292
["3,194"]	289
["3,53"]	286
["18212","23,18212","7"]	286
["3,797","47","7"]	284
["13"]	281
["1495","1623","1463","2860"]	276
["276"]	275
["1328","89,1121,1680"]	267
[]	264
["3428"]	264
["2774"]	261
["151","21,151","22,151","151,891","18","19","7","6,23"]	254
["3,197,1392","231","1393","12","259","7"]	252
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131,2132","7"]	251
["723"]	248
["18","389,390"]	242
["413","1625","239,2086","57,288","104","59","7"]	241
["1463,1495","1623","2860","1463"]	240
["929","14","173","413","229","104","59","56","7"]	240
["929","6,23","231"]	240
["295","7"]	237
["24,29","7"]	236
["3,17","3,17,57","7"]	236
["24,26,28,29","704"]	235
["929","6,23","65"]	234
["3,65","231","7"]	233
["21,66","18,21,66","7"]	229
["59"]	226
["632"]	224
["14","6,14"]	219
["35,45,339","763","764","28,765,766","7"]	217
["14"]	217
["480","7"]	216
["2438","3,1447,2796","1126"]	213
["3,18,65","231","3,18,65,142","7"]	210
["165","1168","57","190"]	209
["3,13","7"]	205
["64"]	202
["3,253","179","3,21,253","21","14","64","18","2131,2132","7"]	198
["3,207","3,171,207","3,21,207","3,14,207","3,64,207","209","2131,2132","7"]	198
["2760"]	196
["32","7"]	194
["637","1977","978","4357","4380","1149","682","238"]	193
["683","1291"]	193
["113,228"]	193
["3,66","7"]	190
["929","6,23","66"]	190
["3,65","3,21,65","3,22,65","3,65,891","18","19,20","7","6,23"]	189
["3,21,141","7"]	187
["3","3,21","3,142","3,673","3,572","3,136","3,342","7"]	186
["3,316","3","231","13","24,26"]	184
["3,65,1126","3,65,473,1126","7"]	182
["3,136","3,136,142","3,136,572","3,136,1984","3,109,136","3,136,342","3,21,136","7"]	182
["3,18,66","7"]	181
["6,65","3,6,18,65","231"]	180
["3,868"]	179
["12","7"]	179
["3","231","3,637","3,113","3,6"]	177
["21"]	168
["42"]	163
["143","7"]	163
["66","7"]	162
["929","6,23","47"]	161
["1680,4759"]	158
["49","7"]	157
["3,28","7"]	155
["3,197,1118","7"]	153
["3","231","3,488","3,486","3,14","3,64","3,12","7"]	151
["3,57,893","231","7"]	151
["3,197,868"]	151
["12,13,47","12,13,14,47","7"]	148
["21,145","7"]	147
["231","96,97,98,99,100,540,541","7"]	146
["480","96,97,98,99,100,540,541","7"]	145
["12,13","7"]	144
["18236","23,18236","7"]	144
["56"]	142
["135","57,135","135,1142","135,1021","135,1366","123,135","135,4376","135,596"]	141
["143","23649","23247","16609","23650","18217","21979","22182","23651"]	139
["486","7"]	138
["65,595","7"]	137
["2051","23,2051","7"]	137
["3,18","231","3","18,231"]	136
["3,13,47","7"]	136
["14","7"]	136
["21,642","7"]	135
["568"]	134
["3","3,18","7"]	134
["16826"]	133
["18003"]	132
["372","373,375","21,372","7"]	130
["227"]	126
["59","7"]	125
["24"]	124
["3,65","3,18,65","7"]	124
["3","3,984","7"]	123
["941"]	122
["769"]	120
["3,13"]	119
["64","6,64"]	118
["1129"]	117
["622","7"]	116
["1399"]	115
["24,26","7"]	114
["169","23,169","7"]	114
["13,47","7"]	113
["3,45,64","18","24,26","7"]	113
["59","6"]	111
["3,940","6"]	111
["35","35,45","7"]	110
["480","21","96,97,98,99,100,540,541","7"]	110
["3,65,1126","3,65,473,1126","7","6"]	110
["14382","6355"]	109
["18086","23,18086","7"]	109
["151","4400","21,151","22,151","151,891","21,4400","22,4400","891,4400","18","19","7","6,23"]	108
["47"]	108
["3,6","7"]	108
["339","255,340","231","255,340,341","255,259,340","255,340,729","255,340,17043","7"]	107
["480"]	107
["3,113,228","231","3,59,113,228","59","7"]	107
["486"]	107
["929","6,23","59"]	106
["35","7"]	104
["22,168,452,751","6","6,22,452,751"]	104
["21,65","21,66"]	103
["65","66"]	103
["3,109","231","2406"]	102
["21,47"]	102
["65,638","18,65,638","7"]	101
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	100
["3,18,66","231","7"]	100
["2623"]	100
["3,1411","7"]	100
["3,136","3,136,142","3,136,572","3,136,1984","3,109,136","7"]	99
["3,21,763","764","765,766","7"]	99
["18","389,390","3","231","7"]	99
["339","340","340,729","340,17043","340,987","255,340","340,988","259,340","340,3329","7"]	98
["3,197","7"]	98
["3,65,1392","231","1393","12","259","7"]	97
["2590"]	97
["13","12,13","7"]	96
["3,66","231","3,66,1657","3,66,165","3,66,219","3,18,66","3,66,620","3,66,142","448","7"]	94
["3,65","3,65,165","3,18,65","3,21,65","7"]	94
["450","24,592","18","19"]	94
["3","1126"]	94
