query_shape	count
["3,6"]	240400
["49","24,29","7"]	34493
["553"]	25272
["569","21,569"]	12708
["1,450"]	10465
["21","22","891","18","19","7","6,23"]	9000
["13,14,47","13,14,21,47","7"]	7456
["165,718","113,718","682,718","165,2342","113,2342","682,2342","21,165,718","21,113,718","21,682,718","21,165,2342","21,113,2342","21,682,2342","7"]	7156
["1"]	5436
["3","7"]	5381
["49"]	5356
["21","22","891","18","19,20","7","6,23"]	5310
["3","231","23644"]	4929
["13,14","13,14,21","7"]	4709
["126"]	4519
["13,14,21,47","7"]	4489
["24,29"]	4046
["929","6,23","315"]	3637
["929","6,23","3"]	3290
["3,18,601,637","3,18,21,601,637","7"]	2984
["231"]	2906
["42"]	2427
["864"]	2365
["231","7"]	2293
["3,978","3,21,978","7"]	2187
["1550","23,1550","7"]	2001
["1311"]	1989
["655"]	1874
["6,66","110"]	1712
["3,66"]	1643
["6,23,28,140"]	1609
["23273"]	1561
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	1517
["3,18,3436","3965","7"]	1512
["339","340","255,340","259,340","255,259,340"]	1505
["7"]	1502
["413","56","57,288","104","59","7"]	1491
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	1484
["3,65","231","65","65,231"]	1465
["6,413","56,57","288","56,57,175","6,104","59"]	1362
["3","3,14","3,64","7"]	1329
["151","231"]	1298
["8","65","66","402","3339"]	1257
["388"]	1230
["13,14,21","231","7"]	1124
["6,339","340","255,340","259,340","255,259,340"]	1094
["1328","89,1121,1680"]	1077
["23439","23,23439","7"]	1072
[]	1066
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131","7"]	1061
["3","231","7"]	1040
["6"]	1018
["3"]	1009
["24","18"]	988
["6,28,140","7"]	966
["2438"]	947
["3,316","3","231","13","24,26"]	927
["56","6","3,56","56,57","56,330","56,135","7"]	884
["193","23,193","7"]	874
["415","23,415","7"]	817
["328","329","6","255,329","259,329","306,329","7"]	786
["6,56,370","6","56,370"]	783
["56,135","6","6,922"]	783
["56,57","3,637","6,56,57,330"]	781
["142","24,29","7"]	781
["3,6","3,6,17","6","3,6,136","3,6,57","7"]	779
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	778
["56","57,288"]	775
["146"]	763
["53","7"]	734
["23185"]	720
["3,18,21,190,3039","7"]	720
["3,21","7"]	708
["6,339","255,259,340"]	678
["227"]	658
["3,165","3,21,165","7"]	657
["142"]	652
["65","3,65","3","65,231","231","7"]	639
["467"]	602
["3,66","3,18,21,66","7"]	595
["370","3","231","59","2137","7"]	594
["929","6,23","13"]	533
["626","1639","773,1640,3860"]	532
["3,21,978","231","7"]	528
["663","18,663","21,663","7"]	487
["56","173","7"]	469
["121","7"]	452
["49","7"]	450
["57,288","56"]	447
["13,45","7"]	437
["628","2866","773,1640,3860"]	434
["12,13,47,243,625","24","12,13,14,47,243,625","12,13,47,64,243,625","6,12,13,47,243,625","6"]	426
["3","128","3,981","3,139","3,128","128,981","128,139","7"]	419
["929","6,23","47"]	411
["355","23,355","7"]	411
["23166","23,23166","7"]	411
["6,18","6,18,21","6,18,142"]	410
["18","389,390"]	410
["3,14","3,14,47","3,14,64","3,14,221","3,14,220","3,14,45","3,12,14","3,14,21","7"]	409
["929","6,23","65"]	405
["3,64","3,14,64","3,64,221","3,64,220","3,45,64","3,12,64","3,21,64","7"]	398
["3,65","231","7"]	394
["2403"]	391
["1328","88,89,168,231,1121,1214,1678,1965,1966","9965","1960","88,89,168,231,1121,1214,1667,1678,1680,1965,1966,1967","7"]	385
["3,64","3,14,64","7"]	376
["3,14","3,14,64","7"]	374
["3,65","7"]	369
["1855"]	365
["3,978","231","3,21,978","7"]	364
["3","231"]	359
["929","6,23","231"]	356
["352","7"]	356
["2156"]	345
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131,2132","7"]	340
["140","7"]	334
["480","7"]	324
["21","24,26,29","18","389,390","7","6","3","231"]	317
["14"]	309
["21"]	301
["13","7"]	298
["3,18","231","3","18,231"]	289
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	288
["151","21,151","22,151","151,891","18","19","7","6,23"]	284
["165","1168","57","190"]	283
["929","6,23","66"]	278
["3,1168","3,21,1168","7"]	273
["1875"]	271
["151","4400","21,151","22,151","151,891","21,4400","22,4400","891,4400","18","19","7","6,23"]	270
["3,757","3,6,757","3,757,758","3,142,757","3,757,759","3,595,757","3,21,757","3,620,757","3,757,760","3,757,761"]	266
["136","57","17","7"]	265
["3,6","231"]	265
["3,6","231","6,13","3,168","13,168","3,1422","13,1422","3,6,1523","3,6,45","3,6,1344","3,6,142","3,6,342","1,3,6","3,6,572","3,6,21","24,26,29","6,13,1523","6,13,45","6,13,1344","6,13,142","6,13,342","1,6,13","6,13,572","6,13,21","3,168,1523","3,45,168","3,168,1344","3,142,168","3,168,342","1,3,168","3,168,572","3,21,168","13,168,1523","13,45,168","13,168,1344","13,142,168","13,168,342","1,13,168","13,168,572","13,21,168","3,1422,1523","3,45,1422","3,1344,1422","3,142,1422","3,342,1422","1,3,1422","3,572,1422","3,21,1422","13,1422,1523","13,45,1422","13,1344,1422","13,142,1422","13,342,1422","1,13,1422","13,572,1422","13,21,1422","7"]	263
["637","1977","978","4357","4380","1149","682","238"]	259
["110"]	258
["143","7"]	255
["1342"]	253
["683","1291"]	253
["113,228"]	253
["64"]	252
["66","7"]	251
["18096","23,18096","7"]	247
["3,6,18","7"]	242
["1667,2903","376,5848","6,3493","476","377","7"]	242
["1667,2696","376,437,2697","476","3317","454","231,454","231","376,437,6027","376,437,6021","1667,13498","1667,13584","12695","453,454","231,453,454","7"]	241
["6,28"]	238
["664,1667,2832","89,665","376,437","476","10","6","7"]	235
["65","7"]	234
["22529","23,22529","7"]	231
["88,240","3373","231,510","88,1121,1214,1965,1966","376,3373","476","10","7"]	231
["3,1922","3,21,1922","7"]	224
["165","136","731","732","7"]	216
["23372"]	214
["4447"]	211
["3","231","3,637","3,113","3,6"]	208
["32"]	200
["18,663","18,21,663","7"]	200
["1121,4389","89,1121","1328"]	198
["14","6,14"]	198
["14","7"]	197
["486","7"]	196
["1121,1678","9965","1960","7"]	196
["3,6,18,65","231"]	194
["13,693","13,14,693","13,221,693","13,45,693","13,64,693","13,44,693","7"]	194
["1381","23,1381","7"]	190
