shape	count
0	167856510
1	38371059
2	18423966
6	8032192
9	4912016
3	3166969
4	720897
5	593710
10	158106
12	131064
8	107148
11	102318
14	95153
13	89482
7	25750
15	19965
24	3442
16	2652
17	2004
18	408
20	350
26	349
25	347
19	285
35	268
21	182
22	167
23	158
30	127
28	100
27	99
48	76
29	67
33	65
31	49
32	49
34	40
45	38
43	35
53	34
38	32
40	31
37	30
39	28
41	27
36	27
42	27
52	20
46	17
44	15
51	12
57	11
55	10
58	10
47	9
54	9
50	8
49	8
71	8
59	5
60	5
56	5
65	5
67	5
70	4
99	4
72	4
81	4
75	3
73	3
76	3
68	3
63	3
62	3
77	2
95	2
87	2
74	2
69	2
66	2
64	2
61	2
78	1
79	1
82	1
83	1
86	1
88	1
89	1
90	1
92	1
102	1
107	1
108	1
